idx,customer_id,reason
8724,c6c98904a065185674f114f6d04bc302,There are more cancels than orders.
19888,e2a692f5b9d6cd91119c9d88340fbf68,There are more cancels than orders.
25611,f258621a4186ce7bea4ab138ad5d100d,There are more cancels than orders.
25854,f93b55212d076942d9c9809d9f26cff8,There are more cancels than orders.
33382,abc9d7545694a097ff915ed2e09b554d,There are more cancels than orders.
41213,fb70d678faee68f0b22f77e69258a72c,There are more cancels than orders.
0,e21285105313b1fb68468f11f3de9ad5,`revenue` is smaller than the `average_discount_used`÷10000.
1,33971cc29b974b8971b5c9fd9573f435,`revenue` is smaller than the `average_discount_used`÷10000.
2,5a689379bf47d36d71a7591102e37a98,`revenue` is smaller than the `average_discount_used`÷10000.
3,e4f88dbd0f322dbd55e2a5f895efe726,`revenue` is smaller than the `average_discount_used`÷10000.
4,47f1007ed10c814c3e33c9388351647c,`revenue` is smaller than the `average_discount_used`÷10000.
5,699c98f5c3e57d6d12c5f54065f8f563,`revenue` is smaller than the `average_discount_used`÷10000.
6,d4009f4ca10ebca3b1043d1ebf1318f6,`revenue` is smaller than the `average_discount_used`÷10000.
7,816f4ad6309b27294c50b2315ec56aac,`revenue` is smaller than the `average_discount_used`÷10000.
8,66777e92c7c8ff52c501c0b7219beb15,`revenue` is smaller than the `average_discount_used`÷10000.
9,89a69bf74d11077d749944e62c55d123,`revenue` is smaller than the `average_discount_used`÷10000.
10,07674e11897e3e0c6853c9564adf64e8,`revenue` is smaller than the `average_discount_used`÷10000.
11,3032673a21cf93a71a93d6001ca9eebe,`revenue` is smaller than the `average_discount_used`÷10000.
12,e60c06b673454acd1d9ec843e117553c,`revenue` is smaller than the `average_discount_used`÷10000.
13,d4e37a04c58414dc9b1e06773a7fbb75,`revenue` is smaller than the `average_discount_used`÷10000.
14,6618077e8ff3b6a833acf3f087ba2213,`revenue` is smaller than the `average_discount_used`÷10000.
15,645a91668f12dca5e456f7e2e5bf5039,`revenue` is smaller than the `average_discount_used`÷10000.
16,9af7c18a4462aad997a3a0667a03bc69,`revenue` is smaller than the `average_discount_used`÷10000.
17,31c52f0170a733adeab669a14c176bdd,`revenue` is smaller than the `average_discount_used`÷10000.
18,2ddb9e0123ee65cbb17c5fb9951a1835,`revenue` is smaller than the `average_discount_used`÷10000.
19,672b5df6138055d1ccbd24c7682507bf,`revenue` is smaller than the `average_discount_used`÷10000.
20,81b5c7ab36638445709a1ccdba2ad7d6,`revenue` is smaller than the `average_discount_used`÷10000.
21,6434624f065bfba39d8b4e7cc980614b,`revenue` is smaller than the `average_discount_used`÷10000.
22,d76b5aec00a26f98a4a97fa20f8c7854,`revenue` is smaller than the `average_discount_used`÷10000.
23,29d3f91f6fcf95efa1ed28f11f6557f8,`revenue` is smaller than the `average_discount_used`÷10000.
